id,lang,text,reading_kana,meaning_ja,tts_text,tts_lang,hint,example,quiz_flags,tags,meta
132,en,I like...,アイライク,...が好き,,,1人称,,,好き嫌い,
133,en,I love,アイラブ,大好き,,,強調,,,好き嫌い,
134,en,I don't like,アイドントライク,好きじゃない,,,否定,,,好き嫌い,
135,en,I hate,アイヘイト,大嫌い,,,強い否定,,,好き嫌い,
136,en,good,グッド,良い,,,形容詞,,,形容詞,
137,en,bad,バッド,悪い,,,形容詞,,,形容詞,
138,en,big,ビッグ,大きい,,,形容詞,,,形容詞,
139,en,small,スモール,小さい,,,形容詞,,,形容詞,
140,en,beautiful,ビューティフル,きれい,,,形容詞,,,形容詞,
141,en,ugly,アグリー,醜い,,,形容詞,,,形容詞,
142,en,expensive,エクスペンシブ,高い（値段）,,,形容詞,,,形容詞,
143,en,cheap,チープ,安い,,,形容詞,,,形容詞,
144,en,new,ニュー,新しい,,,形容詞,,,形容詞,
145,en,old,オールド,古い,,,形容詞,,,形容詞,
146,en,What?,ワット,何？,,,質問詞,,,質問,
147,en,Who?,フー,誰？,,,質問詞,,,質問,
148,en,Where?,ウェア,どこ？,,,質問詞,,,質問,
149,en,When?,ウェン,いつ？,,,質問詞,,,質問,
150,en,How?,ハウ,どう？,,,質問詞,,,質問,
151,en,How much?,ハウマッチ,いくつ？いくら？,,,質問詞,,,質問,
152,en,Why?,ホワイ,なぜ？,,,質問詞,,,質問,
153,en,Which?,ウィッチ,どの？,,,質問詞,,,質問,
154,en,What is this?,ワットイズディス,これは何？,,,基本質問,,,質問,
155,en,Where is...?,ウェアイズ,...はどこ？,,,場所質問,,,質問,
156,en,How much is this?,ハウマッチイズディス,いくらですか？,,,値段質問,,,質問,
157,en,What's your name?,ワッツユアネーム,お名前は？,,,名前質問,,,質問,
158,en,Do you speak Japanese?,ドゥーユースピークジャパニーズ,日本語話せますか？,,,言語質問,,,質問,
159,en,Can I...?,キャナイ,...してもいいですか？,,,許可質問,,,質問,
160,en,I understand,アイアンダースタンド,わかりました,,,理解,,,応答,
161,en,I don't understand,アイドントアンダースタンド,わかりません,,,不理解,,,応答,
162,en,Slowly please,スローリープリーズ,ゆっくりお願いします,,,お願い,,,応答,
163,en,Once more please,ワンスモアプリーズ,もう一度お願いします,,,お願い,,,応答,
164,en,Yes of course,イエスオフコース,はい、もちろん,,,肯定,,,応答,
165,en,No problem,ノープロブレム,問題ないよ,,,承諾,,,応答,
166,en,I disagree,アイディスアグリー,同意しません,,,不同意,,,応答,
167,en,Maybe,メイビー,たぶん,,,不確実,,,応答,
168,en,Definitely,デフィニトリー,確実に,,,確実,,,応答,
169,en,I have a question,アイハブアクエスチョン,質問があります,,,質問導入,,,応答,
170,en,Just a moment,ジャストアモーメント,ちょっと待って,,,待機要求,,,応答,
171,en,I don't know,アイドントノー,わかりません,,,不知,,,応答,
172,en,I think so,アイシンクソー,そう思います,,,意見,,,応答,
173,en,It depends,イットディペンズ,場合による,,,条件付き,,,応答,
174,en,mom,マム,お母さん,,,家族,,,家族,
175,en,dad,ダッド,お父さん,,,家族,,,家族,
176,en,brother,ブラザー,兄弟,,,家族,,,家族,
177,en,sister,シスター,姉妹,,,家族,,,家族,
178,en,son,サン,息子,,,家族,,,家族,
179,en,daughter,ドーター,娘,,,家族,,,家族,
180,en,husband,ハズバンド,夫,,,家族,,,家族,
181,en,wife,ワイフ,妻,,,家族,,,家族,
182,en,grandfather,グランドファーザー,おじいさん,,,家族,,,家族,
183,en,grandmother,グランドマザー,おばあさん,,,家族,,,家族,
184,en,child,チャイルド,子供,,,家族,,,家族,
185,en,friend,フレンド,友達,,,人,,,家族,
186,en,doctor,ドクター,医者,,,職業,,,家族,
187,en,teacher,ティーチャー,先生,,,職業,,,家族,
188,en,engineer,エンジニア,エンジニア,,,職業,,,家族,
189,en,to go,トゥーゴー,行く,,,動詞原形,,,動詞,
190,en,to do,トゥードゥー,する,,,動詞原形,,,動詞,
191,en,to speak,トゥースピーク,話す,,,動詞原形,,,動詞,
192,en,to know,トゥーノー,知っている,,,動詞原形,,,動詞,
193,en,to want,トゥーウォント,したい,,,動詞原形,,,動詞,
194,en,can,キャン,できる,,,助動詞,,,動詞,
195,en,must,マスト,しなければならない,,,助動詞,,,動詞,
196,en,to work,トゥーワーク,働く,,,動詞原形,,,動詞,
197,en,to sleep,トゥースリープ,寝る,,,動詞原形,,,動詞,
198,en,I want...,アイウォント,...したい,,,希望表現,,,動詞,
199,en,I can...,アイキャン,...できます,,,可能表現,,,動詞,
200,en,I must...,アイマスト,...しなければならない,,,義務表現,,,動詞,
201,en,I want to go to...,アイウォントトゥーゴートゥー,...に行きたい,,,希望+場所,,,動詞,
202,en,I have to go,アイハブトゥーゴー,行かなければならない,,,義務,,,動詞,
203,en,Can I pay by card?,キャナイペイバイカード,カードで払えますか？,,,支払い,,,買い物,
204,en,Check please,チェックプリーズ,お会計お願いします,,,レストラン,,,買い物,
205,en,How much is this?,ハウマッチイズディス,いくらですか？,,,値段,,,買い物,
206,en,Too expensive,トゥーエクスペンシブ,高すぎる,,,値段,,,買い物,
207,en,I'd like...,アイドライク,...をください,,,注文,,,買い物,
208,en,shop,ショップ,店,,,場所,,,買い物,
209,en,restaurant,レストラン,レストラン,,,場所,,,買い物,
210,en,cafe,カフェ,カフェ,,,場所,,,買い物,
211,en,station,ステーション,駅,,,場所,,,買い物,
212,en,airport,エアポート,空港,,,場所,,,買い物,
213,en,hotel,ホテル,ホテル,,,場所,,,買い物,
214,en,Where is the toilet?,ウェアイズザトイレット,トイレはどこ？,,,質問,,,買い物,
215,en,on the right,オンザライト,右に,,,方向,,,買い物,
216,en,on the left,オンザレフト,左に,,,方向,,,買い物,
217,en,straight,ストレイト,まっすぐ,,,方向,,,買い物,
218,en,No way.,ノーウェイ,それは無理だ,,,拒否・強い否定,,,感情表現,
219,en,Absolutely not.,アブソルートリーノット,絶対にダメだ,,,強い拒否,,,感情表現,
220,en,That's impossible.,ザッツインポッシブル,ありえない,,,驚き・否定,,,感情表現,
221,en,What!?,ワット！,えっ！？,,,驚き,,,感情表現,
222,en,I can't believe it.,アイキャントビリーブイット,信じられない,,,驚き,,,感情表現,
223,en,Really?,リアリー,本当に？,,,驚き・確認,,,感情表現,
224,en,As planned.,アズプランド,すべて想定通りだ,,,判断,,,感情表現,
225,en,This is your story.,ディスイズユアストーリー,これは君自身の物語だ,,,深い発言,,,感情表現,
226,en,Hard to accept.,ハードトゥーアクセプト,受け入れがたい,,,複雑な感情,,,感情表現,
227,en,What the...,ワットザ,まさか…,,,驚き・動揺,,,感情表現,
228,en,I see.,アイシー,そういうことか,,,納得,,,感情表現,
229,en,Well then.,ウェルゼン,まあ、そうだね,,,受容,,,感情表現,
230,en,Can't be helped.,キャントビーヘルプト,仕方ない,,,諦め・受容,,,感情表現,
231,en,No choice.,ノーチョイス,やるしかない,,,決意,,,感情表現,
232,en,I'm ready.,アイムレディ,覚悟はできている,,,決意,,,感情表現,
233,en,Are you ready?,アーユーレディ,覚悟はあるか？,,,決意の確認,,,感情表現,
234,en,Let's go.,レッツゴー,行こう,,,促し,,,感情表現,
235,en,Hurry up.,ハリーアップ,急いで,,,指示,,,感情表現,
236,en,Focus.,フォーカス,集中して,,,指示,,,感情表現,
237,en,Calm down.,カームダウン,落ち着いて,,,指示,,,感情表現,
238,en,Wait.,ウェイト,待って,,,指示,,,感情表現,
239,en,I'm not joking.,アイムノットジョーキング,冗談じゃない,,,感情吐露,,,感情表現,
240,en,Sigh...,サイ,はあ…やれやれ,,,ため息,,,感情表現,
241,en,Great...,グレイト,困ったな（皮肉）,,,皮肉,,,感情表現,
242,en,Terrible.,テリブル,最悪だ,,,否定的感情,,,感情表現,
243,en,Exactly.,エグザクトリー,そうだね,,,同意,,,感情表現,
244,en,Indeed.,インディード,たしかに,,,同意,,,感情表現,
245,en,Come on!,カモン,さあ行こう！,,,促し,,,感情表現,
246,en,Never mind.,ネバーマインド,気にしないで,,,慰め,,,感情表現,
247,en,I'm sorry.,アイムソーリー,ごめんなさい,,,謝罪,,,感情表現,
248,en,Congratulations!,コングラチュレーションズ,おめでとう！,,,祝福,,,感情表現,
249,en,Good luck!,グッドラック,頑張って！,,,応援,,,感情表現,
250,en,Cheers!,チアーズ,乾杯！,,,乾杯,,,感情表現,
