id,lang,text,reading_kana,meaning_ja,tts_text,tts_lang,hint,example,quiz_flags,tags,meta
82,ko,커요,コヨ,大きいです,,,形容詞,,,形容詞,
83,ko,작아요,チャガヨ,小さいです,,,形容詞,,,形容詞,
84,ko,예뻐요,イェッポヨ,きれいです,,,形容詞,,,形容詞,
85,ko,비싸요,ピッサヨ,高いです,,,形容詞,,,形容詞,
86,ko,싸요,ッサヨ,安いです,,,形容詞,,,形容詞,
87,ko,새로워요,セロウォヨ,新しいです,,,形容詞,,,形容詞,
88,ko,뭐?,ムォ,何？,,,質問詞,,,質問,
89,ko,누구?,ヌグ,誰？,,,質問詞,,,質問,
90,ko,어디?,オディ,どこ？,,,質問詞,,,質問,
91,ko,언제?,オンジェ,いつ？,,,質問詞,,,質問,
92,ko,어떻게?,オットケ,どう？,,,質問詞,,,質問,
93,ko,얼마?,オルマ,いくら？,,,質問詞,,,質問,
94,ko,왜?,ウェ,なぜ？,,,質問詞,,,質問,
95,ko,이게 뭐예요?,イゲムォエヨ,これは何ですか？,,,基本質問,,,質問,
96,ko,알겠습니다,アルゲッスムニダ,わかりました,,,理解,,,応答,
97,ko,모르겠어요,モルゲッソヨ,わかりません,,,不理解,,,応答,
98,ko,어머니,オモニ,お母さん,,,家族,,,家族,
99,ko,아버지,アボジ,お父さん,,,家族,,,家族,
100,ko,친구,チング,友達,,,人,,,家族,
101,ko,형,ヒョン,兄（男性から）,,,家族,,,家族,
102,ko,누나,ヌナ,姉（男性から）,,,家族,,,家族,
103,ko,오빠,オッパ,兄（女性から）,,,家族,,,家族,
104,ko,언니,オンニ,姉（女性から）,,,家族,,,家族,
105,ko,남동생,ナムドンセン,弟,,,家族,,,家族,
106,ko,여동생,ヨドンセン,妹,,,家族,,,家族,
107,ko,할머니,ハルモニ,おばあさん,,,家族,,,家族,
108,ko,할아버지,ハラボジ,おじいさん,,,家族,,,家族,
109,ko,개,ケ,犬,,,動物,,,語彙,
110,ko,고양이,コヤンイ,猫,,,動物,,,語彙,
111,ko,새,セ,鳥,,,動物,,,語彙,
112,ko,말,マル,馬,,,動物,,,語彙,
113,ko,소,ソ,牛,,,動物,,,語彙,
114,ko,닭,タッ,鶏,,,動物,,,語彙,
115,ko,물고기,ムルコギ,魚,,,動物,,,語彙,
116,ko,집,チプ,家,,,場所,,,場所,
117,ko,학교,ハッキョ,学校,,,場所,,,場所,
118,ko,회사,フェサ,会社,,,場所,,,場所,
119,ko,병원,ピョンウォン,病院,,,場所,,,場所,
120,ko,공항,コンハン,空港,,,場所,,,場所,
121,ko,역,ヨッ,駅,,,場所,,,場所,
122,ko,은행,ウンヘン,銀行,,,場所,,,場所,
123,ko,가게,カゲ,店,,,場所,,,場所,
124,ko,시장,シジャン,市場,,,場所,,,場所,
125,ko,호텔,ホテル,ホテル,,,場所,,,場所,
126,ko,식당,シクタン,食堂,,,場所,,,場所,
127,ko,화장실,ファジャンシル,トイレ,,,場所,,,場所,
128,ko,공원,コンウォン,公園,,,場所,,,場所,
129,ko,도서관,トソグァン,図書館,,,場所,,,場所,
130,ko,서점,ソジョム,本屋,,,場所,,,場所,
131,ko,가다,カダ,行く,,,動詞,,,動詞,
132,ko,오다,オダ,来る,,,動詞,,,動詞,
133,ko,보다,ポダ,見る,,,動詞,,,動詞,
134,ko,듣다,トゥッタ,聞く,,,動詞,,,動詞,
135,ko,말하다,マルハダ,話す,,,動詞,,,動詞,
136,ko,읽다,イクタ,読む,,,動詞,,,動詞,
137,ko,쓰다,スダ,書く,,,動詞,,,動詞,
138,ko,사다,サダ,買う,,,動詞,,,動詞,
139,ko,팔다,パルダ,売る,,,動詞,,,動詞,
140,ko,주다,チュダ,あげる,,,動詞,,,動詞,
141,ko,받다,パッタ,もらう,,,動詞,,,動詞,
142,ko,만나다,マンナダ,会う,,,動詞,,,動詞,
143,ko,일하다,イラダ,働く,,,動詞,,,動詞,
144,ko,공부하다,コンブハダ,勉強する,,,動詞,,,動詞,
145,ko,자다,チャダ,寝る,,,動詞,,,動詞,
146,ko,일어나다,イロナダ,起きる,,,動詞,,,動詞,
147,ko,앉다,アンタ,座る,,,動詞,,,動詞,
148,ko,서다,ソダ,立つ,,,動詞,,,動詞,
149,ko,걷다,コッタ,歩く,,,動詞,,,動詞,
150,ko,달리다,タルリダ,走る,,,動詞,,,動詞,
151,ko,울다,ウルダ,泣く,,,動詞,,,動詞,
152,ko,웃다,ウッタ,笑う,,,動詞,,,動詞,
153,ko,알다,アルダ,知る,,,動詞,,,動詞,
154,ko,모르다,モルダ,知らない,,,動詞,,,動詞,
155,ko,좋아하다,チョアハダ,好む,,,動詞,,,動詞,
156,ko,싫어하다,シロハダ,嫌う,,,動詞,,,動詞,
157,ko,생각하다,センガカダ,考える,,,動詞,,,動詞,
158,ko,기다리다,キダリダ,待つ,,,動詞,,,動詞,
159,ko,찾다,チャッタ,探す,,,動詞,,,動詞,
160,ko,돕다,トプタ,助ける,,,動詞,,,動詞,
161,ko,빨간색,パルガンセク,赤,,,色,,,色,
162,ko,파란색,パランセク,青,,,色,,,色,
163,ko,노란색,ノランセク,黄色,,,色,,,色,
164,ko,초록색,チョロクセク,緑,,,色,,,色,
165,ko,검은색,コムンセク,黒,,,色,,,色,
166,ko,하얀색,ハヤンセク,白,,,色,,,色,
167,ko,주황색,チュファンセク,オレンジ,,,色,,,色,
168,ko,보라색,ポラセク,紫,,,色,,,色,
169,ko,분홍색,プノンセク,ピンク,,,色,,,色,
170,ko,회색,フェセク,灰色,,,色,,,色,
171,ko,갈색,カルセク,茶色,,,色,,,色,
172,ko,하늘,ハヌル,空,,,自然,,,自然,
173,ko,바다,パダ,海,,,自然,,,自然,
174,ko,산,サン,山,,,自然,,,自然,
175,ko,강,カン,川,,,自然,,,自然,
176,ko,꽃,コッ,花,,,自然,,,自然,
177,ko,나무,ナム,木,,,自然,,,自然,
178,ko,별,ピョル,星,,,自然,,,自然,
179,ko,달,タル,月,,,自然,,,自然,
180,ko,해,ヘ,太陽,,,自然,,,自然,
181,ko,머리,モリ,頭,,,体,,,体,
182,ko,눈,ヌン,目,,,体,,,体,
183,ko,코,コ,鼻,,,体,,,体,
184,ko,입,イプ,口,,,体,,,体,
185,ko,귀,クィ,耳,,,体,,,体,
186,ko,손,ソン,手,,,体,,,体,
187,ko,발,パル,足,,,体,,,体,
188,ko,마음,マウム,心,,,体,,,体,
189,ko,시간,シガン,時間,,,時間,,,時間,
190,ko,분,プン,分,,,時間,,,時間,
191,ko,초,チョ,秒,,,時間,,,時間,
192,ko,아침,アチム,朝,,,時間,,,時間,
193,ko,낮,ナッ,昼,,,時間,,,時間,
194,ko,밤,パム,夜,,,時間,,,時間,
195,ko,지금,チグム,今,,,時間,,,時間,
196,ko,항상,ハンサン,いつも,,,頻度,,,時間,
197,ko,가끔,カクム,時々,,,頻度,,,時間,
198,ko,많이,マニ,たくさん,,,程度,,,副詞,
199,ko,조금,チョグム,少し,,,程度,,,副詞,
200,ko,빨리,パルリ,早く,,,程度,,,副詞,
201,ko,천천히,チョンチョニ,ゆっくり,,,程度,,,副詞,
202,ko,같이,カチ,一緒に,,,程度,,,副詞,
203,ko,혼자,ホンジャ,一人で,,,程度,,,副詞,
204,ko,전화,チョナ,電話,,,物,,,語彙,
205,ko,컴퓨터,コンピュト,コンピュータ,,,物,,,語彙,
206,ko,책,チェッ,本,,,物,,,語彙,
207,ko,신문,シンムン,新聞,,,物,,,語彙,
208,ko,잡지,チャプチ,雑誌,,,物,,,語彙,
209,ko,영화,ヨンファ,映画,,,物,,,語彙,
210,ko,음악,ウマク,音楽,,,物,,,語彙,
211,ko,사진,サジン,写真,,,物,,,語彙,
212,ko,돈,トン,お金,,,物,,,語彙,
213,ko,지갑,チガプ,財布,,,物,,,語彙,
214,ko,열쇠,ヨルソェ,鍵,,,物,,,語彙,
215,ko,가방,カバン,カバン,,,物,,,語彙,
216,ko,우산,ウサン,傘,,,物,,,語彙,
217,ko,시계,シゲ,時計,,,物,,,語彙,
218,ko,안경,アンギョン,眼鏡,,,物,,,語彙,
219,ko,옷,オッ,服,,,物,,,語彙,
220,ko,신발,シンバル,靴,,,物,,,語彙,
221,ko,모자,モジャ,帽子,,,物,,,語彙,
222,ko,사랑해요,サランヘヨ,愛してます,,,感情,,,感情,
223,ko,행복해요,ヘンボケヨ,幸せです,,,感情,,,感情,
224,ko,슬퍼요,スルポヨ,悲しいです,,,感情,,,感情,
225,ko,화나요,ファナヨ,怒ってます,,,感情,,,感情,
226,ko,피곤해요,ピゴネヨ,疲れてます,,,感情,,,感情,
227,ko,배불러요,ペブルロヨ,お腹いっぱい,,,感情,,,感情,
228,ko,심심해요,シムシメヨ,暇です,,,感情,,,感情,
229,ko,무서워요,ムソウォヨ,怖いです,,,感情,,,感情,
230,ko,어려워요,オリョウォヨ,難しいです,,,形容詞,,,形容詞,
231,ko,쉬워요,シウォヨ,簡単です,,,形容詞,,,形容詞,
232,ko,재미있어요,チェミイッソヨ,面白いです,,,形容詞,,,形容詞,
233,ko,지루해요,チルヘヨ,つまらない,,,形容詞,,,形容詞,
234,ko,길어요,キロヨ,長いです,,,形容詞,,,形容詞,
235,ko,짧아요,チャルバヨ,短いです,,,形容詞,,,形容詞,
236,ko,넓어요,ノルボヨ,広いです,,,形容詞,,,形容詞,
237,ko,좁아요,チョバヨ,狭いです,,,形容詞,,,形容詞,
238,ko,높아요,ノパヨ,高いです,,,形容詞,,,形容詞,
239,ko,낮아요,ナジャヨ,低いです,,,形容詞,,,形容詞,
240,ko,빠르다,パルダ,速い,,,形容詞,,,形容詞,
241,ko,느리다,ヌリダ,遅い,,,形容詞,,,形容詞,
242,ko,가깝다,カッカプタ,近い,,,方向,,,方向,
243,ko,멀다,モルダ,遠い,,,方向,,,方向,
244,ko,위,ウィ,上,,,方向,,,方向,
245,ko,아래,アレ,下,,,方向,,,方向,
246,ko,앞,アプ,前,,,方向,,,方向,
247,ko,뒤,ティ,後ろ,,,方向,,,方向,
248,ko,왼쪽,ウェンチョク,左,,,方向,,,方向,
249,ko,오른쪽,オルンチョク,右,,,方向,,,方向,
250,ko,여기,ヨギ,ここ,,,方向,,,方向,
